time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,temp_fuel
0.19564609150405,2.8062044534064e+20,1.1093711841477e+21,2.7707529539915e+21,1.9349592636105e+21,1.2616446772073e+21,3.5110944901449e+20,1029.5652930558
0.23477630980486,2.7199537440965e+20,1.0752509572735e+21,2.6854431231382e+21,1.8753659975751e+21,1.222778929461e+21,3.4030269219253e+20,1029.5956762403
0.28173257176583,2.5954323541219e+20,1.0260278070202e+21,2.5624740273788e+21,1.7894997304269e+21,1.1668097887719e+21,3.2475260360443e+20,1029.4771303274
0.338080086119,2.5210430301049e+20,9.9657975813592e+20,2.4887588410226e+21,1.73801799937e+21,1.1332514292378e+21,3.1544392328328e+20,1029.1425908684
0.4056971033428,2.4969565716601e+20,9.8698313621594e+20,2.464507756648e+21,1.7210831705469e+21,1.1222252960632e+21,3.1241982314363e+20,1028.5024902972
0.48683752401136,2.473546156986e+20,9.7766886545696e+20,2.4409822151362e+21,1.7047005439191e+21,1.1116047698673e+21,3.0953891354544e+20,1027.4178894513
0.58420602881363,2.5956387635512e+20,1.0258049723518e+21,2.5607057713343e+21,1.7883802371845e+21,1.1662550260764e+21,3.248585938228e+20,1025.7922115814
0.70104823457636,3.0443770239148e+20,1.2029369011975e+21,3.002139317641e+21,2.0967868745947e+21,1.3674997560762e+21,3.8105666972485e+20,1023.6651274192
0.84125888149163,4.1441734898249e+20,1.6372228515814e+21,4.0850074658251e+21,2.8532992285508e+21,1.8610885276519e+21,5.1879693172136e+20,1021.4617445061
1.00951165779,6.0883348920032e+20,2.4050397059188e+21,5.9998836357967e+21,4.1910442361587e+21,2.7338567517281e+21,7.622844401665e+20,1020.154042416
1.2114149893479,7.5135790771116e+20,2.9679656615268e+21,7.4039035360506e+21,5.1719076340677e+21,3.3737874916368e+21,9.4079104294658e+20,1019.7838594524
1.4536989872175,7.5908138664228e+20,2.9985352528175e+21,7.4803046528039e+21,5.2253559049872e+21,3.4087413354683e+21,9.5056746620408e+20,1019.2784315855
1.744439784661,7.2944715818325e+20,2.8815400117441e+21,7.1886409449097e+21,5.0216681235053e+21,3.2759372755378e+21,9.13556292894e+20,1018.4736747602
2.0933287415933,7.1856014206262e+20,2.8385502092424e+21,7.0814812661829e+21,4.9468193386048e+21,3.2271278441699e+21,8.9993724182171e+20,1017.9286496522
2.5119954899119,7.158282463152e+20,2.8277419506675e+21,7.0545058285537e+21,4.927942198121e+21,3.2147826822547e+21,8.9646911843495e+20,1017.7958382659
3.0143955878943,7.1200337062471e+20,2.8126300026388e+21,7.0168084164125e+21,4.9015990015554e+21,3.1975862817053e+21,8.9166462517146e+20,1017.8049263951
3.6172757054731,7.1293898428263e+20,2.8163204221826e+21,7.0260034199313e+21,4.9080141595631e+21,3.201762109781e+21,8.9282228797122e+20,1017.8703592967
4.3407318465678,7.1360912678212e+20,2.8189636429182e+21,7.0325889459308e+21,4.9126082757083e+21,3.2047525752024e+21,8.936511031578e+20,1017.9175697554
5.2088792158813,7.1396288734375e+20,2.8203583373884e+21,7.0360636074159e+21,4.9150310570134e+21,3.2063284793026e+21,8.9408598350064e+20,1017.9453266523
6.2506560590576,7.1396307379289e+20,2.8203582279133e+21,7.0360633682139e+21,4.9150295138618e+21,3.2063257253215e+21,8.9408185902455e+20,1017.9562361541
7.5007882708691,7.1402788677737e+20,2.8206135827531e+21,7.0367010868838e+21,4.9154741822693e+21,3.2066145268549e+21,8.94158889256e+20,1017.9626309337
9.0009469250429,7.1402521401732e+20,2.8206022858677e+21,7.0366738135141e+21,4.9154550353373e+21,3.2066025083632e+21,8.9415343061241e+20,1017.9647751588
10.801137310051,7.1414689331323e+20,2.8210827205139e+21,7.0378749624844e+21,4.9162935305697e+21,3.2071470944034e+21,8.9429905157552e+20,1017.9707615578
12.961365772062,7.1411102625542e+20,2.8209401718189e+21,7.0375209409523e+21,4.9160464183549e+21,3.2069869090099e+21,8.9425162239852e+20,1017.970918325
15.553639926474,7.141223115645e+20,2.8209856475952e+21,7.0376409055777e+21,4.9161314361948e+21,3.2070408275138e+21,8.9425879759313e+20,1017.971282209
18.664368911769,7.1410526206066e+20,2.820918449743e+21,7.037478848995e+21,4.916019376446e+21,3.2069675795041e+21,8.9423152575724e+20,1017.9704201484
22.397243694123,7.1408113320346e+20,2.8208233377928e+21,7.0372483286657e+21,4.9158598053769e+21,3.206863408798e+21,8.9419436906042e+20,1017.968890175
26.876693432947,7.1404778610487e+20,2.8206918855134e+21,7.0369285802908e+21,4.9156382721712e+21,3.2067188734021e+21,8.9414440310344e+20,1017.9667284312
32.252033119537,7.1400466064366e+20,2.8205218813307e+21,7.0365143436152e+21,4.9153511614378e+21,3.2065316107783e+21,8.9408066189774e+20,1017.9639094512
38.702440743444,7.1395073023724e+20,2.8203092741336e+21,7.0359958249665e+21,4.9149917116749e+21,3.2062972128315e+21,8.9400155896552e+20,1017.9603722282
46.442929892133,7.1388455412727e+20,2.8200483790548e+21,7.0353592161231e+21,4.9145503814978e+21,3.2060094652849e+21,8.9390494755369e+20,1017.9560256452
55.73151687056,7.1379507530833e+20,2.8196955170222e+21,7.034496001198e+21,4.9139515858445e+21,3.2056192203495e+21,8.9377682255598e+20,1017.9502029066
66.877821244672,7.1369111499632e+20,2.8192856091159e+21,7.0334938931198e+21,4.9132567010444e+21,3.2051663704516e+21,8.9362750128552e+20,1017.9433739652
80.253386493606,7.1356855977004e+20,2.8188023597695e+21,7.0323127199053e+21,4.9124378783873e+21,3.204632833161e+21,8.9345144110369e+20,1017.935325494
96.304064792327,7.1341204056833e+20,2.8181851705648e+21,7.0308021514974e+21,4.9113905768366e+21,3.2039506533607e+21,8.9322916741565e+20,1017.9251033297
100,7.133672033336e+20,2.8180084030431e+21,7.0303680356998e+21,4.911089311231e+21,3.2037544803422e+21,8.9316720424301e+20,1017.9222766556
